Time_Index,natural_gas,nuclear,solar_pv,distributed_solar,onshore_wind,offshore_wind,battery,clean_firm,coal,hydro
401,1,1,0.1736,0.124,0.7996,0.9831,1,1,1,0.9804
402,1,1,0,0,0.8283,0.8217,1,1,1,0.9959
403,1,1,0,0,0.9176,1,1,1,1,1.0000
404,1,1,0,0,0.9199,1,1,1,1,0.9941
405,1,1,0,0,0.9491,1,1,1,1,0.9731
406,1,1,0,0,0.977,1,1,1,1,0.9188
407,1,1,0,0,0.9809,1,1,1,1,0.8861
408,1,1,0,0,0.973,1,1,1,1,0.8169
409,1,1,0,0,0.9978,1,1,1,1,0.7610
410,1,1,0,0,0.9951,1,1,1,1,0.8373
411,1,1,0,0,1,1,1,1,1,0.8596
412,1,1,0,0,1,1,1,1,1,0.8614
413,1,1,0,0,1,1,1,1,1,0.8516
414,1,1,0,0,1,1,1,1,1,0.8225
415,1,1,0,0,1,1,1,1,1,0.8968
416,1,1,0,0,1,1,1,1,1,0.9713
417,1,1,0.2694,0.1924,1,1,1,1,1,0.8157
418,1,1,0.5893,0.4209,1,1,1,1,1,0.4500
419,1,1,0.7437,0.5312,1,1,1,1,1,0.2764
420,1,1,0.8767,0.6262,0.9827,1,1,1,1,0.2260
421,1,1,0.932,0.6657,0.9983,1,1,1,1,0.2083
422,1,1,0.9723,0.6945,0.988,1,1,1,1,0.2654
423,1,1,0.9092,0.6494,0.9138,1,1,1,1,0.5766
424,1,1,0.7119,0.5085,0.908,1,1,1,1,0.8729
425,1,1,0.4004,0.286,0.9126,1,1,1,1,0.9804
426,1,1,0,0,0.8621,1,1,1,1,0.9959
427,1,1,0,0,0.7448,1,1,1,1,1.0000
428,1,1,0,0,0.7575,1,1,1,1,0.9941
429,1,1,0,0,0.7202,1,1,1,1,0.9731
430,1,1,0,0,0.6477,1,1,1,1,0.9188
431,1,1,0,0,0.5881,0.7679,1,1,1,0.8861
432,1,1,0,0,0.4526,0.6049,1,1,1,0.8169
433,1,1,0,0,0.462,0.5301,1,1,1,0.7803
434,1,1,0,0,0.3418,0.6968,1,1,1,0.7799
435,1,1,0,0,0.2682,0.8434,1,1,1,0.8207
436,1,1,0,0,0.2354,0.9312,1,1,1,0.8311
